n             E 1           RK2 1           RK4 1             E 2           RK2 2           RK4 2
              1             0.2            0.75        0.708333             0.2            0.75        0.979167
              2            0.35        0.709375        0.708151           0.475        0.904687        0.989081
              3        0.434568        0.706247        0.708319        0.607407        0.947102        0.989877
              4        0.487305        0.706276        0.708364        0.685547        0.964341        0.990031
              5        0.523136        0.706645        0.708379        0.737152        0.972979        0.990076
              6         0.54902        0.706984        0.708385        0.773789        0.977908        0.990093
              7        0.568578         0.70725        0.708388         0.80115        0.980981        0.990101
              8        0.583871        0.707454         0.70839        0.822363        0.983025        0.990105
              9        0.596153         0.70761         0.70839        0.839292        0.984453        0.990107
             10        0.606233        0.707732        0.708391        0.853117        0.985489        0.990108
             11        0.614654        0.707828        0.708391        0.864619        0.986265        0.990108
             12        0.621794        0.707905        0.708391        0.874339         0.98686        0.990109
             13        0.627923        0.707968        0.708391        0.882661        0.987327        0.990109
             14        0.633243        0.708019        0.708392        0.889867        0.987701        0.990109
             15        0.637904        0.708062        0.708392        0.896167        0.988004         0.99011
             16         0.64202        0.708098        0.708392        0.901721        0.988253         0.99011
             17        0.645683        0.708128        0.708392        0.906656         0.98846         0.99011
             18        0.648962        0.708154        0.708392        0.911068        0.988635         0.99011
             19        0.651916        0.708176        0.708392        0.915038        0.988783         0.99011
             20         0.65459        0.708195        0.708392        0.918627         0.98891         0.99011
             21        0.657022        0.708212        0.708392         0.92189         0.98902         0.99011
             22        0.659244        0.708227        0.708392        0.924867        0.989115         0.99011
             23        0.661282         0.70824        0.708392        0.927595        0.989198         0.99011
             24        0.663158        0.708252        0.708392        0.930104        0.989272         0.99011
             25         0.66489        0.708262        0.708392         0.93242        0.989336         0.99011
             26        0.666494        0.708271        0.708392        0.934563        0.989394         0.99011
             27        0.667984        0.708279        0.708392        0.936553        0.989445         0.99011
             28        0.669372        0.708287        0.708392        0.938406        0.989491         0.99011
             29        0.670668        0.708293        0.708392        0.940134        0.989533         0.99011
             30         0.67188          0.7083        0.708392        0.941751         0.98957         0.99011
             31        0.673017        0.708305        0.708392        0.943266        0.989604         0.99011
             32        0.674085         0.70831        0.708392        0.944689        0.989635         0.99011
             33        0.675091        0.708315        0.708392        0.946028        0.989663         0.99011
             34        0.676039        0.708319        0.708392        0.947291        0.989688         0.99011
             35        0.676935        0.708323        0.708392        0.948483        0.989712         0.99011
             36        0.677783        0.708327        0.708392        0.949611        0.989733         0.99011
             37        0.678586         0.70833        0.708392        0.950679        0.989753         0.99011
             38        0.679348        0.708333        0.708392        0.951692        0.989772         0.99011
             39        0.680072        0.708336        0.708392        0.952655        0.989789         0.99011
             40        0.680761        0.708339        0.708392         0.95357        0.989804         0.99011
             41        0.681417        0.708341        0.708392        0.954442        0.989819         0.99011
             42        0.682042        0.708343        0.708392        0.955273        0.989833         0.99011
             43         0.68264        0.708345        0.708392        0.956066        0.989845         0.99011
             44        0.683211        0.708347        0.708392        0.956824        0.989857         0.99011
             45        0.683757        0.708349        0.708392        0.957549        0.989868         0.99011
             46         0.68428        0.708351        0.708392        0.958243        0.989878         0.99011
             47        0.684781        0.708353        0.708392        0.958908        0.989888         0.99011
             48        0.685262        0.708354        0.708392        0.959546        0.989897         0.99011
             49        0.685723        0.708356        0.708392        0.960159        0.989906         0.99011
             50        0.686167        0.708357        0.708392        0.960747        0.989914         0.99011
             51        0.686593        0.708358        0.708392        0.961312        0.989921         0.99011
             52        0.687004         0.70836        0.708392        0.961857        0.989928         0.99011
             53        0.687399        0.708361        0.708392        0.962381        0.989935         0.99011
             54         0.68778        0.708362        0.708392        0.962886        0.989941         0.99011
             55        0.688147        0.708363        0.708392        0.963373        0.989948         0.99011
             56        0.688502        0.708364        0.708392        0.963842        0.989953         0.99011
             57        0.688844        0.708365        0.708392        0.964296        0.989959         0.99011
             58        0.689175        0.708366        0.708392        0.964734        0.989964         0.99011
             59        0.689494        0.708367        0.708392        0.965158        0.989969         0.99011
             60        0.689803        0.708368        0.708392        0.965567        0.989973         0.99011
             61        0.690103        0.708368        0.708392        0.965964        0.989978         0.99011
             62        0.690393        0.708369        0.708392        0.966347        0.989982         0.99011
             63        0.690673         0.70837        0.708392        0.966719        0.989986         0.99011
             64        0.690945         0.70837        0.708392        0.967079         0.98999         0.99011
             65        0.691209        0.708371        0.708392        0.967429        0.989993         0.99011
             66        0.691465        0.708372        0.708392        0.967768        0.989997         0.99011
             67        0.691714        0.708372        0.708392        0.968097            0.99         0.99011
             68        0.691955        0.708373        0.708392        0.968416        0.990003         0.99011
             69         0.69219        0.708373        0.708392        0.968726        0.990006         0.99011
             70        0.692417        0.708374        0.708392        0.969028        0.990009         0.99011
             71        0.692639        0.708374        0.708392        0.969321        0.990012         0.99011
