                   n                    p                    t                    s
1 70.3918434788435 337.639230839845 159.474305932511 
2 119.83751398862 204.015537159344 147.896855045528 
3 133.857580782498 173.303172366379 147.006111310459 
4 139.301372116719 161.926525573982 146.843089935807 
5 141.925711887046 156.539826362481 146.797083378858 
6 143.380255488402 153.580376574439 146.780295850414 
7 144.267377406933 151.784351024709 146.773035279525 
8 144.847263467677 150.613948845351 146.769491926902 
9 145.246716080869 149.809365680298 146.767599280679 
10 145.533387904313 149.232769124764 146.766514977797 
11 145.746002305765 148.805569475418 146.765858028982 
12 145.908004055925 148.48031603142 146.76544138109 
13 146.034253899304 148.226992852166 146.765166883592 
14 146.134538076429 148.025864215821 146.764980122893 
15 146.215512482806 147.863523545809 146.764849503807 
16 146.281830834155 147.730606156514 146.764755941608 
17 146.336825768193 147.620410988879 146.764687508421 
18 146.382934346012 147.528040880583 146.764636524203 
19 146.421971921447 147.449849895297 146.76459791273 
20 146.455313102626 147.383078514539 146.76456823993 
21 146.484014140617 147.325607120515 146.764545133916 
22 146.508897443102 147.275785890591 146.764526925599 
23 146.530611034823 147.232315191773 146.764512420473 
24 146.549671103898 147.194160043672 146.764500750489 
25 146.566492915744 147.160487996401 146.764491275963 
26 146.58141359127 147.130623375735 146.764483519425 
27 146.594709106792 147.104013147237 146.764477120273 
28 146.606607131729 147.080201146125 146.764471803194 
29 146.617296829019 147.058808409576 146.764467355872 
30 146.626936412402 147.039518014307 146.764463613037 
31 146.635659028596 147.022063277587 146.764460444926 
32 146.643577375565 147.006218495334 146.764457748821 
33 146.650787357939 146.991791612518 146.764455442799 
34 146.657371002311 146.978618378536 146.764453461053 
35 146.663398798827 146.966557653462 146.764451750372 
36 146.668931594539 146.955487613298 146.764450267459 
37 146.674022133961 146.945302662699 146.764448976874 
38 146.678716319983 146.935910908372 146.764447849446 
39 146.68305425169 146.927232079734 146.764446861038 
40 146.687071083078 146.919195808582 146.764445991579 
41 146.69079773712 146.911740198654 146.764445224298 
42 146.694261502393 146.904810630566 146.764444545117 
43 146.697486533816 146.898358758889 146.764443942174 
44 146.700494274713 146.892341666847 146.764443405424 
45 146.703303814025 146.886721150962 146.764442926338 
46 146.705932189807 146.881463113298 146.764442497637 
47 146.708394648044 146.876537043199 146.764442113096 
48 146.710704864157 146.871915573785 146.764441767366 
49 146.712875133207 146.867574101107 146.764441455841 
50 146.714916533771 146.863490456072 146.764441174538 
51 146.716839069549 146.859644620923 146.764440920007 
52 146.718651792121 146.856018483503 146.764440689248 
53 146.720362907644 146.85259562365 146.764440479646 
54 146.721979869864 146.849361127014 146.764440288914 
55 146.723509461404 146.846301422346 146.764440115052 
56 146.724957864984 146.843404138927 146.764439956299 
57 146.726330725982 146.840657981354 146.764439811106 
58 146.727633207514 146.838052619298 146.764439678109 
59 146.728870039034 146.835578590221 146.764439556096 
60 146.730045559321 146.833227213355 146.764439443999 
61 146.731163754571 146.830990513453 146.764439340865 
62 146.732228292225 146.828861153091 146.764439245848 
63 146.733242551079 146.826832372419 146.764439158192 
64 146.734209648114 146.82489793545 146.764439077226 
65 146.735132462469 146.823052082094 146.764439002344 
66 146.736013656896 146.821289485229 146.764438933007 
67 146.736855696978 146.81960521223 146.764438868728 
68 146.737660868397 146.817994690423 146.764438809073 
69 146.738431292458 146.816453676023 146.764438753646 
70 146.739168940069 146.814978226144 146.764438702094 
71 146.739875644361 146.813564673566 146.764438654096 
72 146.740553112084 146.812209603919 146.764438609362 
73 146.741202933919 146.81090983505 146.764438567629 
74 146.741826593824 146.80966239833 146.764438528659 
75 146.742425477512 146.808464521683 146.764438492236 
76 146.743000880153 146.807313614177 146.764438458161 
77 146.743554013382 146.806207252006 146.764438426256 
78 146.74408601168 146.805143165712 146.764438396357 
79 146.744597938199 146.804119228547 146.764438368315 
80 146.745090790074 146.80313344583 146.764438341993 
81 146.74556550328 146.802183945235 146.764438317265 
82 146.746022957083 146.801268967887 146.764438294018 
83 146.74646397811 146.800386860216 146.764438272146 
84 146.746889344089 146.79953606648 146.764438251552 
85 146.747299787274 146.798715121899 146.764438232149 
86 146.747695997605 146.797922646352 146.764438213854 
87 146.748078625605 146.797157338567 146.764438196593 
88 146.748448285053 146.79641797078 146.764438180295 
89 146.748805555444 146.795703383806 146.764438164898 
90 146.749150984266 146.795012482494 146.764438150342 
91 146.749485089094 146.794344231529 146.764438136573 
92 146.749808359533 146.793697651552 146.764438123539 
93 146.75012125901 146.793071815568 146.764438111196 
94 146.750424226436 146.792465845622 146.764438099498 
95 146.75071767775 146.79187890972 146.764438088407 
96 146.75100200734 146.791310218971 146.764438077884 
97 146.751277589375 146.790759024934 146.764438067895 
98 146.751544779033 146.790224617157 146.764438058408 
99 146.751803913647 146.789706320883 146.764438049392 
100 146.752055313771 146.789203494922 146.764438040821 
101 146.75229928417 146.788715529664 146.764438032668 
102 146.752536114745 146.788241845236 146.764438024909 
103 146.752766081395 146.787781889773 146.764438017521 
104 146.752989446818 146.787335137812 146.764438010483 
105 146.753206461267 146.786901088791 146.764438003775 
106 146.753417363246 146.786479265647 146.764437997379 
107 146.753622380167 146.786069213502 146.764437991278 
108 146.753821728964 146.785670498439 146.764437985456 
109 146.754015616668 146.785282706354 146.764437979897 
110 146.754204240943 146.784905441875 146.764437974587 
111 146.754387790588 146.784538327362 146.764437969513 
112 146.754566446016 146.784181001956 146.764437964663 
113 146.75474037969 146.783833120691 146.764437960024 
114 146.754909756545 146.783494353668 146.764437955586 
115 146.755074734376 146.783164385265 146.764437951339 
116 146.755235464205 146.782842913406 146.764437947272 
117 146.755392090632 146.782529648867 146.764437943377 
118 146.755544752154 146.782224314628 146.764437939645 
119 146.755693581473 146.781926645257 146.764437936068 
120 146.755838705787 146.781636386338 146.764437932637 
121 146.755980247061 146.78135329392 146.764437929347 
122 146.75611832228 146.781077134012 146.76443792619 
123 146.756253043694 146.780807682093 146.76443792316 
124 146.756384519047 146.780544722659 146.764437920251 
125 146.756512851789 146.780288048791 146.764437917456 
126 146.756638141283 146.780037461749 146.764437914771 
127 146.756760482994 146.779792770585 146.764437912191 
128 146.756879968674 146.779553791782 146.76443790971 
129 146.756996686534 146.779320348905 146.764437907324 
130 146.757110721403 146.779092272281 146.764437905029 
131 146.757222154887 146.778869398688 146.764437902821 
132 146.757331065511 146.778651571062 146.764437900695 
133 146.757437528862 146.778438638221 146.764437898648 
134 146.757541617713 146.778230454604 146.764437896677 
135 146.757643402157 146.778026880019 146.764437894778 
136 146.757742949717 146.77782777941 146.764437892948 
137 146.757840325459 146.777633022633 146.764437891184 
138 146.757935592105 146.77744248424 146.764437889483 
139 146.758028810124 146.77725604328 146.764437887843 
140 146.758120037838 146.777073583107 146.764437886261 
141 146.758209331504 146.776894991194 146.764437884734 
142 146.758296745409 146.776720158964 146.76443788326 
143 146.758382331946 146.776548981622 146.764437881838 
144 146.758466141696 146.776381358001 146.764437880464 
145 146.758548223502 146.776217190408 146.764437879137 
146 146.758628624541 146.776056384485 146.764437877856 
147 146.75870739039 146.775898849071 146.764437876617 
148 146.758784565091 146.775744496077 146.76443787542 
149 146.758860191214 146.775593240358 146.764437874262 
150 146.758934309916 146.775444999597 146.764437873143 
151 146.759006960992 146.775299694196 146.76443787206 
152 146.759078182937 146.775157247165 146.764437871013 
153 146.759148012989 146.775017584022 146.76443787 
154 146.759216487181 146.774880632694 146.764437869019 
155 146.75928364039 146.774746323427 146.764437868069 
156 146.759349506377 146.774614588696 146.76443786715 
157 146.75941411783 146.774485363118 146.764437866259 
158 146.759477506409 146.774358583373 146.764437865397 
159 146.759539702779 146.774234188126 146.764437864561 
160 146.759600736651 146.774112117952 146.764437863752 
161 146.759660636817 146.773992315267 146.764437862967 
162 146.75971943118 146.773874724257 146.764437862206 
163 146.759777146794 146.773759290817 146.764437861468 
164 146.759833809887 146.773645962485 146.764437860753 
165 146.759889445897 146.773534688383 146.764437860059 
166 146.759944079497 146.773425419163 146.764437859386 
167 146.759997734624 146.773318106949 146.764437858733 
168 146.760050434506 146.773212705284 146.764437858099 
169 146.760102201683 146.773109169084 146.764437857483 
170 146.760153058035 146.773007454587 146.764437856886 
171 146.760203024807 146.772907519303 146.764437856306 
172 146.760252122624 146.772809321979 146.764437855742 
173 146.760300371519 146.772712822546 146.764437855195 
174 146.760347790952 146.772617982086 146.764437854663 
175 146.760394399825 146.772524762789 146.764437854147 
176 146.760440216509 146.772433127916 146.764437853645 
177 146.760485258853 146.772343041763 146.764437853157 
178 146.760529544211 146.772254469625 146.764437852682 
179 146.760573089449 146.772167377765 146.764437852221 
180 146.760615910969 146.77208173338 146.764437851772 
181 146.760658024719 146.771997504571 146.764437851336 
182 146.760699446212 146.771914660312 146.764437850912 
183 146.760740190537 146.771833170423 146.764437850499 
184 146.760780272374 146.771753005543 146.764437850097 
185 146.760819706009 146.7716741371 146.764437849706 
186 146.760858505344 146.771596537289 146.764437849326 
187 146.760896683909 146.771520179047 146.764437848955 
188 146.760934254877 146.771445036029 146.764437848594 
189 146.760971231073 146.771371082584 146.764437848243 
190 146.761007624984 146.771298293735 146.764437847901 
191 146.761043448774 146.771226645156 146.764437847568 
192 146.761078714287 146.771156113155 146.764437847243 
193 146.761113433065 146.771086674651 146.764437846927 
194 146.761147616351 146.771018307155 146.764437846619 
195 146.761181275101 146.770950988754 146.764437846319 
196 146.761214419992 146.770884698095 146.764437846026 
197 146.76124706143 146.770819414362 146.764437845741 
198 146.761279209561 146.770755117265 146.764437845463 
199 146.761310874276 146.770691787023 146.764437845191 
200 146.761342065217 146.770629404346 146.764437844927 
201 146.76137279179 146.770567950426 146.764437844669 
202 146.761403063167 146.770507406917 146.764437844417 
203 146.761432888295 146.770447755924 146.764437844172 
204 146.761462275903 146.770388979991 146.764437843932 
205 146.761491234506 146.770331062084 146.764437843698 
206 146.761519772414 146.770273985584 146.76443784347 
207 146.761547897736 146.770217734271 146.764437843248 
208 146.761575618388 146.770162292315 146.764437843031 
209 146.761602942096 146.770107644263 146.764437842818 
210 146.761629876402 146.770053775029 146.764437842611 
211 146.761656428671 146.770000669884 146.764437842409 
212 146.761682606094 146.769948314446 146.764437842211 
213 146.761708415693 146.769896694669 146.764437842019 
214 146.761733864328 146.769845796834 146.76443784183 
215 146.761758958698 146.769795607542 146.764437841646 
216 146.761783705349 146.769746113702 146.764437841466 
217 146.761808110674 146.769697302524 146.764437841291 
218 146.761832180923 146.769649161511 146.764437841119 
219 146.761855922201 146.769601678451 146.764437840951 
220 146.761879340476 146.769554841409 146.764437840787 
221 146.761902441581 146.769508638718 146.764437840626 
222 146.761925231217 146.769463058975 146.76443784047 
223 146.761947714959 146.769418091031 146.764437840317 
224 146.761969898257 146.769373723986 146.764437840167 
225 146.76199178644 146.76932994718 146.76443784002 
226 146.76201338472 146.769286750191 146.764437839877 
227 146.762034698193 146.769244122824 146.764437839736 
228 146.762055731845 146.769202055107 146.764437839599 
229 146.762076490554 146.769160537287 146.764437839465 
230 146.76209697909 146.76911955982 146.764437839334 
231 146.762117202122 146.769079113372 146.764437839205 
232 146.762137164217 146.769039188806 146.76443783908 
233 146.762156869844 146.768999777181 146.764437838957 
234 146.76217632338 146.76896086975 146.764437838836 
235 146.762195529104 146.768922457947 146.764437838718 
236 146.762214491209 146.768884533391 146.764437838603 
237 146.762233213797 146.768847087875 146.76443783849 
238 146.762251700886 146.768810113365 146.764437838379 
239 146.762269956409 146.768773601995 146.764437838271 
240 146.762287984216 146.768737546063 146.764437838165 
241 146.76230578808 146.768701938024 146.764437838061 
242 146.762323371694 146.768666770491 146.764437837959 
243 146.762340738676 146.768632036227 146.76443783786 
244 146.76235789257 146.768597728146 146.764437837762 
245 146.762374836848 146.768563839302 146.764437837666 
246 146.762391574912 146.768530362893 146.764437837573 
247 146.762408110094 146.768497292254 146.764437837481 
248 146.76242444566 146.768464620853 146.764437837391 
249 146.762440584809 146.768432342289 146.764437837302 
250 146.762456530679 146.76840045029 146.764437837216 
251 146.762472286343 146.768368938708 146.764437837131 
252 146.762487854814 146.768337801516 146.764437837048 
253 146.762503239047 146.768307032807 146.764437836967 
254 146.762518441936 146.768276626789 146.764437836887 
255 146.76253346632 146.768246577786 146.764437836809 
256 146.762548314984 146.768216880228 146.764437836732 
257 146.762562990656 146.768187528657 146.764437836657 
258 146.762577496014 146.768158517719 146.764437836583 
259 146.762591833683 146.768129842164 146.76443783651 
260 146.762606006238 146.768101496842 146.764437836439 
261 146.762620016204 146.768073476702 146.76443783637 
262 146.762633866058 146.768045776788 146.764437836301 
263 146.762647558232 146.768018392239 146.764437836234 
264 146.762661095109 146.767991318287 146.764437836168 
265 146.76267447903 146.767964550251 146.764437836104 
266 146.76268771229 146.767938083541 146.764437836041 
267 146.762700797142 146.767911913651 146.764437835978 
268 146.762713735797 146.767886036159 146.764437835917 
269 146.762726530424 146.767860446724 146.764437835857 
270 146.762739183154 146.767835141088 146.764437835799 
271 146.762751696077 146.767810115069 146.764437835741 
272 146.762764071245 146.767785364563 146.764437835684 
273 146.762776310672 146.767760885541 146.764437835629 
274 146.762788416338 146.767736674046 146.764437835574 
275 146.762800390183 146.767712726195 146.76443783552 
276 146.762812234115 146.767689038172 146.764437835468 
277 146.762823950007 146.767665606234 146.764437835416 
278 146.762835539697 146.767642426702 146.764437835365 
279 146.762847004991 146.767619495964 146.764437835315 
280 146.762858347663 146.767596810472 146.764437835266 
281 146.762869569456 146.767574366741 146.764437835218 
282 146.762880672082 146.767552161349 146.764437835171 
283 146.762891657221 146.767530190932 146.764437835124 
284 146.762902526525 146.767508452186 146.764437835079 
285 146.762913281617 146.767486941867 146.764437835034 
286 146.762923924093 146.767465656784 146.76443783499 
287 146.762934455518 146.767444593804 146.764437834947 
288 146.762944877432 146.767423749848 146.764437834904 
289 146.762955191348 146.76740312189 146.764437834862 
290 146.762965398754 146.767382706955 146.764437834821 
291 146.762975501111 146.76736250212 146.764437834781 
292 146.762985499855 146.767342504513 146.764437834741 
